Country,Rural,Job Title,Quantity,Percentage
Austria,Non-rural,Automatic Data Processing Customer Liaison (ADP Customer Liaison),1,0.0%
Austria,Non-rural,Automatic Data Processing Planner,1,0.0%
Austria,Non-rural,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.0%
Austria,Non-rural,Computer or Data Processing Systems Consultant,2,0.0%
Austria,Non-rural,Crime Data Specialist,1,0.0%
Austria,Non-rural,Data Base Design Analyst,1,0.0%
Austria,Non-rural,Data Communications Software Consultant,1,0.0%
Austria,Non-rural,Data Entry Representative,1,0.0%
Austria,Non-rural,Data Keyer,1,0.0%
Austria,Non-rural,Data Management Associate,1,0.0%
Austria,Non-rural,Data Management Information Technology Specialist,1,0.0%
Austria,Non-rural,Data Officer,2,0.0%
Austria,Non-rural,Data Processing Systems Project Planner,1,0.0%
Austria,Non-rural,Data Security Analyst,1,0.0%
Austria,Non-rural,Data Systems Manager,1,0.0%
Austria,Non-rural,Data Warehousing Engineer,4,0.0%
Austria,Non-rural,Data Warehousing Manager,1,0.0%
Austria,Non-rural,Database Administration Associate,1,0.0%
Austria,Non-rural,Database Administration Manager,1,0.0%
Austria,Non-rural,Database Architect,1,0.0%
Austria,Non-rural,Database Coordinator,1,0.0%
Austria,Non-rural,Database Developer,1,0.0%
Austria,Non-rural,Database Manager,1,0.0%
Austria,Non-rural,Database Modeler,1,0.0%
Austria,Non-rural,Database Security Administrator,2,0.0%
Austria,Non-rural,Database Security Expert,1,0.0%
Austria,Non-rural,Electronic Data Processing Auditor (EDP Auditor),1,0.0%
Austria,Non-rural,Field Artillery Automated Tactical Data System Specialist,1,0.0%
Austria,Non-rural,Geographic Information Systems Data Specialist (GIS Data Specialist),1,0.0%
Austria,Non-rural,Geographic Information Systems Database Administrator (GIS Database Administrator),3,0.0%
Austria,Non-rural,Maintenance Data Analyst,1,0.0%
Austria,Non-rural,"Naval Tactical Data System--Combat Information Center Watch Officer, General",1,0.0%
Austria,Non-rural,Not job found,31,0.3%
Austria,Rural,Automatic Data Processing Customer Liaison (ADP Customer Liaison),1,0.0%
Austria,Rural,Automatic Data Processing Planner,1,0.0%
Austria,Rural,Automatic Data Processing Systems Security Specialist (ADP Systems Security),1,0.0%
Austria,Rural,Clinical Data Specialist,1,0.0%
Austria,Rural,Computer or Data Processing Systems Consultant,1,0.0%
Austria,Rural,Data Administrator,1,0.0%
Austria,Rural,Data Base Design Analyst,1,0.0%
Austria,Rural,Data Coder Operator,1,0.0%
Austria,Rural,Data Communications Software Consultant,1,0.0%
Austria,Rural,Data Coordinator,2,0.0%
Austria,Rural,Data Entry Specialist,1,0.0%
Austria,Rural,Data Processing Auditor,3,0.0%
Austria,Rural,Data Security Analyst,1,0.0%
Austria,Rural,Data Warehouse Developer,1,0.0%
Austria,Rural,Data Warehousing Engineer,1,0.0%
Austria,Rural,Database Design Analyst,1,0.0%
